x(degrees)	y(eV)	Time_TS1(UTC)	Time_TS2(UTC)	ch_4(ordinal)
-81.18495762980508	641.06	2026-03-02T14:48:36.526Z	2026-03-02T14:48:36.526Z	ROI_03309_1
-80.87938085725526	338.66	2026-03-02T14:48:28.222Z	2026-03-02T14:48:28.222Z	ROI_03309_1
-80.57380408470542	178.91	2026-03-02T14:48:20.301Z	2026-03-02T14:48:20.301Z	ROI_03309_1
-80.43120159084883	80.019	2026-03-02T14:48:16.788Z	2026-03-02T14:48:16.788Z	ROI_03309_1
-80.3497144515022	42.272	2026-03-02T14:48:14.781Z	2026-03-02T14:48:14.781Z	ROI_03309_1
-79.77930447607584	38.896	2026-03-02T14:48:01.312Z	2026-03-02T14:48:01.312Z	ROI_03309_1
-79.37186877934272	41.116	2026-03-02T14:47:52.095Z	2026-03-02T14:47:52.095Z	ROI_03309_1
-79.06629200679288	41.116	2026-03-02T14:47:45.490Z	2026-03-02T14:47:45.490Z	ROI_03309_1
-78.76071523424305	42.272	2026-03-02T14:47:38.891Z	2026-03-02T14:47:38.892Z	ROI_03309_1
-78.47551024652986	80.019	2026-03-02T14:47:32.998Z	2026-03-02T14:47:32.998Z	ROI_03309_1
-78.29216418299997	229.65	2026-03-02T14:47:29.210Z	2026-03-02T14:47:29.210Z	ROI_03309_1
-78.14956168914337	271.25	2026-03-02T14:47:26.264Z	2026-03-02T14:47:26.264Z	ROI_03309_1
-77.8643567014302	294.79	2026-03-02T14:47:20.496Z	2026-03-02T14:47:20.496Z	ROI_03309_1
-77.57915171371701	178.91	2026-03-02T14:47:14.808Z	2026-03-02T14:47:14.808Z	ROI_03309_1
-77.51803635920704	105.61	2026-03-02T14:47:13.588Z	2026-03-02T14:47:13.588Z	ROI_03309_1
-77.31431851084048	82.270	2026-03-02T14:47:09.525Z	2026-03-02T14:47:09.525Z	ROI_03309_1
-77.11060066247393	55.789	2026-03-02T14:47:05.562Z	2026-03-02T14:47:05.562Z	ROI_03309_1
-76.8457674595974	43.462	2026-03-02T14:47:00.430Z	2026-03-02T14:47:00.430Z	ROI_03309_1
-76.64204961123085	54.263	2026-03-02T14:46:56.482Z	2026-03-02T14:46:56.482Z	ROI_03309_1
-76.37721640835431	57.359	2026-03-02T14:46:51.413Z	2026-03-02T14:46:51.413Z	ROI_03309_1
-76.03089606613116	30.301	2026-03-02T14:46:44.862Z	2026-03-02T14:46:44.862Z	ROI_03309_1
-75.80680643292796	21.720	2026-03-02T14:46:40.623Z	2026-03-02T14:46:40.623Z	ROI_03309_1
-74.86970433044179	21.126	2026-03-02T14:46:23.209Z	2026-03-02T14:46:23.209Z	ROI_03309_1
-74.01408936730225	19.986	2026-03-02T14:46:07.597Z	2026-03-02T14:46:07.597Z	ROI_03309_1
-72.9751283406328	19.439	2026-03-02T14:45:48.943Z	2026-03-02T14:45:48.943Z	ROI_03309_1
-72.07876980781995	22.332	2026-03-02T14:45:33.031Z	2026-03-02T14:45:33.031Z	ROI_03309_1
